boundary,statement,basis
supported,The offline complete-scan BC-DPG-FCN v3 has 56/830 background alarms and 289/318 joint successes at frozen thresholds.,Six-fold sample-aligned internal development audit.
supported,BC-DPG-FCN v3 and ROI RI4 have complementary target outcomes and partially overlapping false alarms.,"The pooled overlap is reported as counts, without selecting a new rule."
supported,ROI refinement is an independent suppression study under frozen Power2 candidate locations.,ROI results are not presented as a trained joint detector.
diagnostic_only,AND and OR counts describe logical intersections and unions only.,Neither rule was selected on training or validation data for this audit.
not_supported,"A naive AND, OR, or serial combination improves the deployed detector.",Choosing such a rule from these test outcomes would be test-set selection.
not_supported,The evidence represents a trained or learned ROI/BC-DPG joint model.,No joint model was trained in this evidence build.
not_supported,The results establish cross-site blind generalization or balloon-payload classification.,The current scope is an internal six-fold H/V UAV detection and localization front end.
not_supported,The complete-scan BC-DPG-FCN v3 result represents strict causal real-time deployment performance.,Its scan statistics may include samples occurring after the current sample.
method_constraint,Stage 4 modes were screened on development Folds 1 and 4 before six-fold extension.,"Those folds are included in the six-fold ROI summary, so it is not an unbiased blind estimate."
method_constraint,Any future learned combination must be selected using training or validation data and tested once with frozen rules.,Test thresholds and combination rules remain untuned in this audit.
