experiment_name,checkpoint_path,size_bytes,sha256,top_level_keys,epoch,mode,fold_id,base_threshold,state_parameter_tensors
roi_polar_stage4_v1_power2_baseline_v4_fold01_seed42_formal,results/experiments/roi_polar_stage4_v1_power2_baseline_v4_fold01_seed42_formal/checkpoints/best.pt,2267,efba9778478fd69af900c56a9a1aabf39427b0b23c9bafca298644e87c1b839e,base_threshold|config|epoch|fold_id|mode|model_state_dict|power2_location_frozen|sample_independent,0,power2_baseline,1,0.183837890625,0
roi_polar_stage4_v1_power2_roi_power_control_v4_fold01_seed42_formal,results/experiments/roi_polar_stage4_v1_power2_roi_power_control_v4_fold01_seed42_formal/checkpoints/best.pt,114689,d0f67687317955ad061897ee7e673db64db095791fc1cff3c530686023c8b341,base_threshold|config|epoch|fold_id|mode|model_config|model_state_dict|optimizer_state_dict|power2_location_frozen|sample_independent|scan_context|suppression_only|validation_fixed_threshold_metrics,28,power2_roi_power_control,1,0.183837890625,14
roi_polar_stage4_v1_power2_roi_ri4_v4_fold01_seed42_formal,results/experiments/roi_polar_stage4_v1_power2_roi_ri4_v4_fold01_seed42_formal/checkpoints/best.pt,114625,621e17dd5a9f45eca1833bc53b7d41a9be7d1f00ca0b79b39d5fc5d7a7e1cc31,base_threshold|config|epoch|fold_id|mode|model_config|model_state_dict|optimizer_state_dict|power2_location_frozen|sample_independent|scan_context|suppression_only|validation_fixed_threshold_metrics,16,power2_roi_ri4,1,0.183837890625,14
roi_polar_stage4_v1_power2_roi_polar6_gated_v4_fold01_seed42_formal,results/experiments/roi_polar_stage4_v1_power2_roi_polar6_gated_v4_fold01_seed42_formal/checkpoints/best.pt,114689,f331a3e64a87a607040c0a04b07504b239fe667f4b8f0fca4d3c1c0d9ac9e531,base_threshold|config|epoch|fold_id|mode|model_config|model_state_dict|optimizer_state_dict|power2_location_frozen|sample_independent|scan_context|suppression_only|validation_fixed_threshold_metrics,6,power2_roi_polar6_gated,1,0.183837890625,14
roi_polar_stage4_v1_power2_roi_ri4_polar6_gated_v4_fold01_seed42_formal,results/experiments/roi_polar_stage4_v1_power2_roi_ri4_polar6_gated_v4_fold01_seed42_formal/checkpoints/best.pt,114689,99af30e2c595d16197bf995d0f69b17e0413f174efde853d06f33c9eef61f487,base_threshold|config|epoch|fold_id|mode|model_config|model_state_dict|optimizer_state_dict|power2_location_frozen|sample_independent|scan_context|suppression_only|validation_fixed_threshold_metrics,6,power2_roi_ri4_polar6_gated,1,0.183837890625,14
roi_polar_stage4_v1_power2_baseline_v4_fold04_seed42_formal,results/experiments/roi_polar_stage4_v1_power2_baseline_v4_fold04_seed42_formal/checkpoints/best.pt,2267,3a6e0b6dba2271cd2f97b2ac34cb4525f4f78bde4d7146a554971f5eec52d2a9,base_threshold|config|epoch|fold_id|mode|model_state_dict|power2_location_frozen|sample_independent,0,power2_baseline,4,0.140869140625,0
roi_polar_stage4_v1_power2_roi_power_control_v4_fold04_seed42_formal,results/experiments/roi_polar_stage4_v1_power2_roi_power_control_v4_fold04_seed42_formal/checkpoints/best.pt,114689,de470e740ad608b5796c4e767507e06e409177b9bb37ad0d7557d223356fd027,base_threshold|config|epoch|fold_id|mode|model_config|model_state_dict|optimizer_state_dict|power2_location_frozen|sample_independent|scan_context|suppression_only|validation_fixed_threshold_metrics,5,power2_roi_power_control,4,0.140869140625,14
roi_polar_stage4_v1_power2_roi_ri4_v4_fold04_seed42_formal,results/experiments/roi_polar_stage4_v1_power2_roi_ri4_v4_fold04_seed42_formal/checkpoints/best.pt,114625,0cbb65204e5b45fa1cc39dccd5f0e631bb9faad6b9fa66ef6a86bfa7ba632261,base_threshold|config|epoch|fold_id|mode|model_config|model_state_dict|optimizer_state_dict|power2_location_frozen|sample_independent|scan_context|suppression_only|validation_fixed_threshold_metrics,8,power2_roi_ri4,4,0.140869140625,14
roi_polar_stage4_v1_power2_roi_polar6_gated_v4_fold04_seed42_formal,results/experiments/roi_polar_stage4_v1_power2_roi_polar6_gated_v4_fold04_seed42_formal/checkpoints/best.pt,114689,c4a6c8adb15db914fe20492ba63df10813791417be196a531d0437726cf66f3f,base_threshold|config|epoch|fold_id|mode|model_config|model_state_dict|optimizer_state_dict|power2_location_frozen|sample_independent|scan_context|suppression_only|validation_fixed_threshold_metrics,4,power2_roi_polar6_gated,4,0.140869140625,14
roi_polar_stage4_v1_power2_roi_ri4_polar6_gated_v4_fold04_seed42_formal,results/experiments/roi_polar_stage4_v1_power2_roi_ri4_polar6_gated_v4_fold04_seed42_formal/checkpoints/best.pt,114689,62fd509edafa1f0b96d6c05aa531441b861b6b094145bf5597e7799ca8591d2c,base_threshold|config|epoch|fold_id|mode|model_config|model_state_dict|optimizer_state_dict|power2_location_frozen|sample_independent|scan_context|suppression_only|validation_fixed_threshold_metrics,6,power2_roi_ri4_polar6_gated,4,0.140869140625,14
