source,destination,size_bytes
results/experiments/polar_repr_v2_power2_v4_fold01_seed42_formal/tables/summary.json,results/data_audit/polarimetric_twofold_diagnostics_v1/collected_outputs/polar_repr_v2_power2_v4_fold01_seed42_formal/tables/summary.json,4281
results/experiments/polar_repr_v2_power2_v4_fold01_seed42_formal/tables/test_predictions.csv,results/data_audit/polarimetric_twofold_diagnostics_v1/collected_outputs/polar_repr_v2_power2_v4_fold01_seed42_formal/tables/test_predictions.csv,46688
results/experiments/polar_repr_v2_power2_v4_fold01_seed42_formal/tables/training_history.csv,results/data_audit/polarimetric_twofold_diagnostics_v1/collected_outputs/polar_repr_v2_power2_v4_fold01_seed42_formal/tables/training_history.csv,9564
results/experiments/polar_repr_v2_power2_v4_fold01_seed42_formal/tables/val_predictions.csv,results/data_audit/polarimetric_twofold_diagnostics_v1/collected_outputs/polar_repr_v2_power2_v4_fold01_seed42_formal/tables/val_predictions.csv,47468
results/experiments/polar_repr_v2_power2_v4_fold01_seed42_formal/tables/val_threshold_curve.csv,results/data_audit/polarimetric_twofold_diagnostics_v1/collected_outputs/polar_repr_v2_power2_v4_fold01_seed42_formal/tables/val_threshold_curve.csv,7661
results/experiments/polar_repr_v2_ri4_v4_fold01_seed42_formal/tables/summary.json,results/data_audit/polarimetric_twofold_diagnostics_v1/collected_outputs/polar_repr_v2_ri4_v4_fold01_seed42_formal/tables/summary.json,4359
results/experiments/polar_repr_v2_ri4_v4_fold01_seed42_formal/tables/test_predictions.csv,results/data_audit/polarimetric_twofold_diagnostics_v1/collected_outputs/polar_repr_v2_ri4_v4_fold01_seed42_formal/tables/test_predictions.csv,47058
results/experiments/polar_repr_v2_ri4_v4_fold01_seed42_formal/tables/training_history.csv,results/data_audit/polarimetric_twofold_diagnostics_v1/collected_outputs/polar_repr_v2_ri4_v4_fold01_seed42_formal/tables/training_history.csv,10320
results/experiments/polar_repr_v2_ri4_v4_fold01_seed42_formal/tables/val_predictions.csv,results/data_audit/polarimetric_twofold_diagnostics_v1/collected_outputs/polar_repr_v2_ri4_v4_fold01_seed42_formal/tables/val_predictions.csv,47234
results/experiments/polar_repr_v2_ri4_v4_fold01_seed42_formal/tables/val_threshold_curve.csv,results/data_audit/polarimetric_twofold_diagnostics_v1/collected_outputs/polar_repr_v2_ri4_v4_fold01_seed42_formal/tables/val_threshold_curve.csv,8607
results/experiments/polar_repr_v2_polar6_gated_v4_fold01_seed42_formal/tables/summary.json,results/data_audit/polarimetric_twofold_diagnostics_v1/collected_outputs/polar_repr_v2_polar6_gated_v4_fold01_seed42_formal/tables/summary.json,4412
results/experiments/polar_repr_v2_polar6_gated_v4_fold01_seed42_formal/tables/test_predictions.csv,results/data_audit/polarimetric_twofold_diagnostics_v1/collected_outputs/polar_repr_v2_polar6_gated_v4_fold01_seed42_formal/tables/test_predictions.csv,46968
results/experiments/polar_repr_v2_polar6_gated_v4_fold01_seed42_formal/tables/training_history.csv,results/data_audit/polarimetric_twofold_diagnostics_v1/collected_outputs/polar_repr_v2_polar6_gated_v4_fold01_seed42_formal/tables/training_history.csv,11182
results/experiments/polar_repr_v2_polar6_gated_v4_fold01_seed42_formal/tables/val_predictions.csv,results/data_audit/polarimetric_twofold_diagnostics_v1/collected_outputs/polar_repr_v2_polar6_gated_v4_fold01_seed42_formal/tables/val_predictions.csv,47515
results/experiments/polar_repr_v2_polar6_gated_v4_fold01_seed42_formal/tables/val_threshold_curve.csv,results/data_audit/polarimetric_twofold_diagnostics_v1/collected_outputs/polar_repr_v2_polar6_gated_v4_fold01_seed42_formal/tables/val_threshold_curve.csv,8153
results/experiments/polar_repr_v2_ri8_gated_v4_fold01_seed42_formal/tables/summary.json,results/data_audit/polarimetric_twofold_diagnostics_v1/collected_outputs/polar_repr_v2_ri8_gated_v4_fold01_seed42_formal/tables/summary.json,4466
results/experiments/polar_repr_v2_ri8_gated_v4_fold01_seed42_formal/tables/test_predictions.csv,results/data_audit/polarimetric_twofold_diagnostics_v1/collected_outputs/polar_repr_v2_ri8_gated_v4_fold01_seed42_formal/tables/test_predictions.csv,47055
results/experiments/polar_repr_v2_ri8_gated_v4_fold01_seed42_formal/tables/training_history.csv,results/data_audit/polarimetric_twofold_diagnostics_v1/collected_outputs/polar_repr_v2_ri8_gated_v4_fold01_seed42_formal/tables/training_history.csv,6520
results/experiments/polar_repr_v2_ri8_gated_v4_fold01_seed42_formal/tables/val_predictions.csv,results/data_audit/polarimetric_twofold_diagnostics_v1/collected_outputs/polar_repr_v2_ri8_gated_v4_fold01_seed42_formal/tables/val_predictions.csv,47465
results/experiments/polar_repr_v2_ri8_gated_v4_fold01_seed42_formal/tables/val_threshold_curve.csv,results/data_audit/polarimetric_twofold_diagnostics_v1/collected_outputs/polar_repr_v2_ri8_gated_v4_fold01_seed42_formal/tables/val_threshold_curve.csv,8310
results/experiments/polar_repr_v2_power2_v4_fold04_seed42_formal/tables/summary.json,results/data_audit/polarimetric_twofold_diagnostics_v1/collected_outputs/polar_repr_v2_power2_v4_fold04_seed42_formal/tables/summary.json,4258
results/experiments/polar_repr_v2_power2_v4_fold04_seed42_formal/tables/test_predictions.csv,results/data_audit/polarimetric_twofold_diagnostics_v1/collected_outputs/polar_repr_v2_power2_v4_fold04_seed42_formal/tables/test_predictions.csv,46477
results/experiments/polar_repr_v2_power2_v4_fold04_seed42_formal/tables/training_history.csv,results/data_audit/polarimetric_twofold_diagnostics_v1/collected_outputs/polar_repr_v2_power2_v4_fold04_seed42_formal/tables/training_history.csv,9709
results/experiments/polar_repr_v2_power2_v4_fold04_seed42_formal/tables/val_predictions.csv,results/data_audit/polarimetric_twofold_diagnostics_v1/collected_outputs/polar_repr_v2_power2_v4_fold04_seed42_formal/tables/val_predictions.csv,49130
results/experiments/polar_repr_v2_power2_v4_fold04_seed42_formal/tables/val_threshold_curve.csv,results/data_audit/polarimetric_twofold_diagnostics_v1/collected_outputs/polar_repr_v2_power2_v4_fold04_seed42_formal/tables/val_threshold_curve.csv,7709
results/experiments/polar_repr_v2_ri4_v4_fold04_seed42_formal/tables/summary.json,results/data_audit/polarimetric_twofold_diagnostics_v1/collected_outputs/polar_repr_v2_ri4_v4_fold04_seed42_formal/tables/summary.json,4278
results/experiments/polar_repr_v2_ri4_v4_fold04_seed42_formal/tables/test_predictions.csv,results/data_audit/polarimetric_twofold_diagnostics_v1/collected_outputs/polar_repr_v2_ri4_v4_fold04_seed42_formal/tables/test_predictions.csv,46811
results/experiments/polar_repr_v2_ri4_v4_fold04_seed42_formal/tables/training_history.csv,results/data_audit/polarimetric_twofold_diagnostics_v1/collected_outputs/polar_repr_v2_ri4_v4_fold04_seed42_formal/tables/training_history.csv,9147
results/experiments/polar_repr_v2_ri4_v4_fold04_seed42_formal/tables/val_predictions.csv,results/data_audit/polarimetric_twofold_diagnostics_v1/collected_outputs/polar_repr_v2_ri4_v4_fold04_seed42_formal/tables/val_predictions.csv,49034
results/experiments/polar_repr_v2_ri4_v4_fold04_seed42_formal/tables/val_threshold_curve.csv,results/data_audit/polarimetric_twofold_diagnostics_v1/collected_outputs/polar_repr_v2_ri4_v4_fold04_seed42_formal/tables/val_threshold_curve.csv,8406
results/experiments/polar_repr_v2_polar6_gated_v4_fold04_seed42_formal/tables/summary.json,results/data_audit/polarimetric_twofold_diagnostics_v1/collected_outputs/polar_repr_v2_polar6_gated_v4_fold04_seed42_formal/tables/summary.json,4447
results/experiments/polar_repr_v2_polar6_gated_v4_fold04_seed42_formal/tables/test_predictions.csv,results/data_audit/polarimetric_twofold_diagnostics_v1/collected_outputs/polar_repr_v2_polar6_gated_v4_fold04_seed42_formal/tables/test_predictions.csv,46751
results/experiments/polar_repr_v2_polar6_gated_v4_fold04_seed42_formal/tables/training_history.csv,results/data_audit/polarimetric_twofold_diagnostics_v1/collected_outputs/polar_repr_v2_polar6_gated_v4_fold04_seed42_formal/tables/training_history.csv,7898
results/experiments/polar_repr_v2_polar6_gated_v4_fold04_seed42_formal/tables/val_predictions.csv,results/data_audit/polarimetric_twofold_diagnostics_v1/collected_outputs/polar_repr_v2_polar6_gated_v4_fold04_seed42_formal/tables/val_predictions.csv,48994
results/experiments/polar_repr_v2_polar6_gated_v4_fold04_seed42_formal/tables/val_threshold_curve.csv,results/data_audit/polarimetric_twofold_diagnostics_v1/collected_outputs/polar_repr_v2_polar6_gated_v4_fold04_seed42_formal/tables/val_threshold_curve.csv,8186
