experiment_name,checkpoint_path,size_bytes,sha256,top_level_keys,epoch,mode,fold_id,base_threshold,state_parameter_tensors
roi_polar_stage4_v1_power2_baseline_v4_fold01_seed42_smoke,results/experiments/roi_polar_stage4_v1_power2_baseline_v4_fold01_seed42_smoke/checkpoints/best.pt,2267,d06135e9153fc027ea7af1cadda35a9b272b298da2575d9d362e04aca79df359,base_threshold|config|epoch|fold_id|mode|model_state_dict|power2_location_frozen|sample_independent,0,power2_baseline,1,0.183837890625,0
roi_polar_stage4_v1_power2_roi_power_control_v4_fold01_seed42_smoke,results/experiments/roi_polar_stage4_v1_power2_roi_power_control_v4_fold01_seed42_smoke/checkpoints/best.pt,114689,1bc101300e546354533024f2a15dc14b21a072110b561ff1d93f66743118b5ea,base_threshold|config|epoch|fold_id|mode|model_config|model_state_dict|optimizer_state_dict|power2_location_frozen|sample_independent|scan_context|suppression_only|validation_fixed_threshold_metrics,3,power2_roi_power_control,1,0.183837890625,14
roi_polar_stage4_v1_power2_roi_ri4_v4_fold01_seed42_smoke,results/experiments/roi_polar_stage4_v1_power2_roi_ri4_v4_fold01_seed42_smoke/checkpoints/best.pt,114625,31d0c068b4e77ea7abeb2ab725115c8fef182b87432b2ed7cd97fd74d2871d14,base_threshold|config|epoch|fold_id|mode|model_config|model_state_dict|optimizer_state_dict|power2_location_frozen|sample_independent|scan_context|suppression_only|validation_fixed_threshold_metrics,3,power2_roi_ri4,1,0.183837890625,14
roi_polar_stage4_v1_power2_roi_polar6_gated_v4_fold01_seed42_smoke,results/experiments/roi_polar_stage4_v1_power2_roi_polar6_gated_v4_fold01_seed42_smoke/checkpoints/best.pt,114689,65fe8421d1e9fbaf62dc72f4e6d6dbcbdabb397ea50f95d3dd31a6fcdad8df1f,base_threshold|config|epoch|fold_id|mode|model_config|model_state_dict|optimizer_state_dict|power2_location_frozen|sample_independent|scan_context|suppression_only|validation_fixed_threshold_metrics,3,power2_roi_polar6_gated,1,0.183837890625,14
roi_polar_stage4_v1_power2_roi_ri4_polar6_gated_v4_fold01_seed42_smoke,results/experiments/roi_polar_stage4_v1_power2_roi_ri4_polar6_gated_v4_fold01_seed42_smoke/checkpoints/best.pt,114689,5ba214b7b400aba98e2519b0fa1a50ef5f6fecdf94b08f5e2ec0685250472e6a,base_threshold|config|epoch|fold_id|mode|model_config|model_state_dict|optimizer_state_dict|power2_location_frozen|sample_independent|scan_context|suppression_only|validation_fixed_threshold_metrics,3,power2_roi_ri4_polar6_gated,1,0.183837890625,14
roi_polar_stage4_v1_power2_baseline_v4_fold04_seed42_smoke,results/experiments/roi_polar_stage4_v1_power2_baseline_v4_fold04_seed42_smoke/checkpoints/best.pt,2267,3dae4a85439cbb733f330a55b73181928ac04c687e3aec611738ab81c949c28c,base_threshold|config|epoch|fold_id|mode|model_state_dict|power2_location_frozen|sample_independent,0,power2_baseline,4,0.140869140625,0
roi_polar_stage4_v1_power2_roi_power_control_v4_fold04_seed42_smoke,results/experiments/roi_polar_stage4_v1_power2_roi_power_control_v4_fold04_seed42_smoke/checkpoints/best.pt,114689,155c629edfa39bc3a311d7b97b1a71e67a8082afa37839f21471dd2c489653df,base_threshold|config|epoch|fold_id|mode|model_config|model_state_dict|optimizer_state_dict|power2_location_frozen|sample_independent|scan_context|suppression_only|validation_fixed_threshold_metrics,3,power2_roi_power_control,4,0.140869140625,14
roi_polar_stage4_v1_power2_roi_ri4_v4_fold04_seed42_smoke,results/experiments/roi_polar_stage4_v1_power2_roi_ri4_v4_fold04_seed42_smoke/checkpoints/best.pt,114625,6d97f154e86e2abe58c05e73adf852f0e346b6b8c31857c8de962ea4385168ec,base_threshold|config|epoch|fold_id|mode|model_config|model_state_dict|optimizer_state_dict|power2_location_frozen|sample_independent|scan_context|suppression_only|validation_fixed_threshold_metrics,3,power2_roi_ri4,4,0.140869140625,14
roi_polar_stage4_v1_power2_roi_polar6_gated_v4_fold04_seed42_smoke,results/experiments/roi_polar_stage4_v1_power2_roi_polar6_gated_v4_fold04_seed42_smoke/checkpoints/best.pt,114689,5e4a212fca0ea683a0236872d947ea80b0589030bbe5738c73c3972d2a568231,base_threshold|config|epoch|fold_id|mode|model_config|model_state_dict|optimizer_state_dict|power2_location_frozen|sample_independent|scan_context|suppression_only|validation_fixed_threshold_metrics,3,power2_roi_polar6_gated,4,0.140869140625,14
roi_polar_stage4_v1_power2_roi_ri4_polar6_gated_v4_fold04_seed42_smoke,results/experiments/roi_polar_stage4_v1_power2_roi_ri4_polar6_gated_v4_fold04_seed42_smoke/checkpoints/best.pt,114689,4a7dac049d609ce3319579aa9f09ca3a0b43dfb44475da14414592f88e7ab547,base_threshold|config|epoch|fold_id|mode|model_config|model_state_dict|optimizer_state_dict|power2_location_frozen|sample_independent|scan_context|suppression_only|validation_fixed_threshold_metrics,3,power2_roi_ri4_polar6_gated,4,0.140869140625,14
